Effective date ,S&P 500 Energy ,S&P 500 Health Care ,S&P 500 Information Technology ,S&P 500 Communication Services ,S&P 500 Consumer Discretionary ,S&P 500 Consumer Staples ,S&P 500 Financials ,S&P 500 Industrials ,S&P 500 Materials ,S&P 500 Real Estate ,S&P 500 Utilities 
08/03/2011,-0.6324495,0.6463868,0.6231932,1.5526951,0.666536,0.8390642,2.2297757,1.5173113,0.9964413,1.547404,0.980634
09/03/2011,-0.6294807,0.1467967,-0.591075,0.8080488,0.2044791,0.4927234,-0.0842311,-0.224663,-1.4882063,0.3326114,1.1054785
10/03/2011,-3.6354038,-1.5966914,-2.0372388,-0.6286837,-1.0365044,-0.6656493,-2.0543083,-2.0140105,-2.205016,-1.6883818,-1.2383714
11/03/2011,1.6306333,0.2766399,0.6432268,-0.5773033,0.5204072,-0.0490324,0.819932,1.1809013,1.3640275,1.8193225,0.2997125
14/03/2011,0.4168389,-0.4933949,-0.3916386,-1.1056316,-1.1200834,-0.7489289,-0.9840043,-0.8422182,-0.2292312,-0.7393715,-1.3721186
15/03/2011,-0.8105352,-1.1276392,-1.5558289,-1.0295182,-0.8364067,-1.0313694,-1.2206743,-1.0688723,-0.1489172,-0.7138423,-1.8611266
16/03/2011,-1.8309402,-1.811858,-2.707537,-1.4465664,-1.6802816,-1.4216747,-1.8926865,-2.0129265,-1.9558548,-1.7349172,-1.6696069
17/03/2011,3.0521306,1.202735,0.9696023,2.1192381,0.4593353,0.5775466,1.3719798,1.5817281,1.7297579,1.073644,0.1922214
18/03/2011,-0.3904996,0.678334,0.1197246,0.9447674,-0.0638784,0.708553,1.1409303,0.7107091,0.5383005,0.7002911,0.358125
21/03/2011,2.907112,0.6009972,1.8983558,-0.2159827,1.4465938,1.267089,0.6302521,2.0625501,1.7337356,1.2189405,1.2808258
22/03/2011,-0.2731052,-0.0241106,-0.2518214,0.5531506,-0.7793069,-0.2568324,-0.5309975,-0.7857188,-0.2046698,-0.9263548,0.0755002
23/03/2011,0.2319902,-0.093786,0.5882497,0.1913418,0.842246,0.2905057,-0.2965734,0.3452864,1.410514,-1.0908524,-0.0377216
24/03/2011,0.257557,1.1640382,1.6155364,0.8753083,1.4483627,0.8262014,0.4896577,1.0038829,0.433365,0.630219,0.3522013
25/03/2011,0.921699,0.2571716,0.1486739,0.7809419,0.2254239,0.039176,0.2140352,0.3187998,0.526013,0.4149053,0.0062672
28/03/2011,-0.1255547,-0.0343779,-0.5459247,1.4088917,-1.0691701,-0.0358973,-0.3044624,-0.0342711,-0.4742049,-0.0155921,-0.3384095
29/03/2011,1.0298094,0.6428231,0.6380008,1.4587836,0.9291598,0.4439802,0.3099503,0.7355233,0.9940031,0.7407407,0.8866252
30/03/2011,0.7960182,0.7070574,0.1626755,1.3921643,1.0707757,0.5980239,0.7361294,0.4362354,1.000488,0.9365325,1.2091748
31/03/2011,-0.3432881,-0.0365402,-0.2531706,-0.022509,-0.3875969,-0.2164642,-0.4420587,0.3604103,0.4107272,0.6287861,-0.2832861
01/04/2011,0.3987714,0.5822454,-0.0862007,-0.1425891,0.7230869,0.5892828,0.8019573,0.9023941,0.3368624,0.3200488,0.7164032
04/04/2011,-0.0185918,0.5814708,-0.5152539,0.2254622,0.1384284,0.1995687,-0.0719166,0.1186348,0.6954436,-0.1139385,-0.0797155
05/04/2011,0.3414758,-0.4903605,-0.0746772,-0.5023995,0.3857777,0.1188602,-0.1034545,-0.4284022,1.1232833,-0.0380228,-0.3252531
06/04/2011,-0.9434439,0.1893301,0.7232227,-0.6179818,-0.2177672,0.3882436,1.1391778,0.1800317,-0.8124975,-0.2814758,0.751139
07/04/2011,0.197289,-0.1553197,0.0598358,-0.0075832,-0.3337827,0.0958865,-0.4407444,-0.4751607,-0.1859913,-0.8315532,-0.4766561
08/04/2011,0.3479707,0.0570391,-0.6027843,0.2578492,-0.5570941,-0.290577,-0.8630327,-0.8385616,-0.6224478,-0.8308331,-0.2394695
11/04/2011,-1.8454616,0.4741915,-0.1588295,-0.0226929,-0.0744795,0.5636329,-0.0541272,-0.0925897,-1.2287561,-0.0387868,-1.3602511
12/04/2011,-2.9882641,-0.139265,-0.8894138,-0.552319,-0.1587919,0.2643144,-0.3881217,-0.7722962,-1.3450198,-0.3336955,-0.2308748
13/04/2011,0.2735686,-0.0929728,0.6906783,-0.2510651,0.3343179,0.0666984,-0.7792679,-0.2397186,-0.6223132,-0.0700771,0.3439865
14/04/2011,0.6041065,0.4652966,-0.3139869,0.2364427,-0.2490942,0.6284517,-0.8538813,-0.021845,0.2966259,1.3947327,0.5110945
15/04/2011,0.9121645,0.9340023,-0.4118916,0.6467813,0.5967245,0.5078224,0.0644775,0.3652027,0.6407887,1.3217552,1.0914052
18/04/2011,-1.5199107,-1.1777302,-0.7031117,-1.3381719,-0.9349109,-0.6747215,-1.3623602,-1.3342041,-1.261173,-1.0845658,-0.8526561
19/04/2011,1.0897493,0.9415467,0.3724212,-0.0613027,0.2538319,0.1453397,0.3686249,0.8825847,1.7609127,0.8664315,0.006187
20/04/2011,2.1875548,0.891876,2.3629351,0.4370495,1.7333723,0.5805149,0.255695,1.4841431,1.2226826,1.1858609,1.1197723
21/04/2011,0.6449621,0.3368794,0.9491105,0.2977327,0.6381417,0.0125471,0.5610944,0.2124384,1.0835106,0.5859815,0.1774243
25/04/2011,-0.5709514,0.1363189,0.219692,-0.2359568,-0.2092515,-0.3293188,-0.1383381,-0.2918676,-0.6669578,0.6348495,0.0610724
26/04/2011,1.1518881,1.1167973,0.7684148,1.4572366,0.2637014,0.5727052,0.5679719,1.777901,1.0431238,0.9945079,0.8544922
27/04/2011,-0.0118622,1.1543256,0.4748427,1.3310272,1.1280816,0.5131254,0.6382295,0.6176016,0.1700815,0.5658436,0.7806826
28/04/2011,-0.1593112,0.5052621,-0.0349211,0.1929499,0.4292787,0.7564202,0.802993,0.3339853,0.260612,1.0814761,0.7446106
29/04/2011,1.5141742,-0.0465938,0.1024709,-0.6443967,-0.0405604,0.2378893,-0.2036752,0.3298746,0.224489,-0.8964071,0.2026584
02/05/2011,-1.3076486,1.0206335,-0.4071377,-0.149098,0.3121293,0.154107,-0.371899,-0.113582,-0.6287331,0.1094172,0.0773303
03/05/2011,-2.3534395,-0.2744384,-0.1658568,1.4857399,-0.5071878,0.2985075,0.3869441,-0.3441259,-0.9807023,-0.7140775,0.6657156
04/05/2011,-1.5720706,-0.0730603,-0.2784472,-0.2501287,-0.3784206,-0.0767059,-0.9386904,-1.3932679,-1.6932907,-0.4770292,-0.2479924
05/05/2011,-2.2582636,-0.638526,-0.4927495,-1.305406,-0.1820807,-0.8290601,-1.1352712,-0.6120771,-1.2430939,-0.2654671,-0.7339884
06/05/2011,0.3643316,0.5935737,0.2923977,0.2241817,0.0157252,0.2384122,0.3333796,0.7659783,0.732209,-0.6580407,0.5247466
09/05/2011,1.6065845,0.6047011,0.206903,0.2833284,0.1509386,0.3706678,-0.1799806,0.4378497,1.5436132,0.5954153,0.243208
10/05/2011,0.4704634,0.5816772,0.8517128,1.0929368,1.2527866,0.5601034,0.9431345,0.7719787,0.6997507,1.4649305,1.3196047
11/05/2011,-2.9433511,-0.3060241,-0.8049694,-0.8751931,-0.8186554,-0.1193537,-1.3282037,-1.1055367,-2.735623,-1.3416946,-0.2277771
12/05/2011,-0.0634817,0.9160564,0.6215259,0.6454964,0.8566783,1.3297791,-0.0881916,0.0698685,0.0328475,0.0221729,0.8546508
13/05/2011,-0.426505,-0.1844223,-1.2190574,-0.5455216,-0.6789014,-0.0695473,-1.4727062,-1.1262218,-1.3586176,-1.2118525,-0.4353126
16/05/2011,-0.8038058,0.1079784,-1.5172609,-0.8153584,-1.4232654,-0.0423626,-0.1225952,-0.3960578,-0.3703395,0.4712394,0
17/05/2011,-0.1598589,0.0311601,-0.1677209,0.2989313,0.1424817,0.2754738,0.7175904,-1.2699587,-1.0817358,-0.2159023,0.7403521
18/05/2011,1.9729093,0.776364,0.7464119,0.2905894,1.150879,0.1962264,0.4921721,1.1083359,2.1026854,1.1489965,-0.3356287
19/05/2011,0.1245308,-0.2139953,0.1357886,0.6315007,0.3313328,0.5212413,0.0559728,0.676239,0.0496237,0.1844066,0.2032166
20/05/2011,-0.2613696,-0.814926,-0.716087,-0.073828,-0.950215,-0.3386986,-1.468463,-0.9968102,-0.9878482,-1.1412163,-0.0289721
23/05/2011,-1.4783489,-0.9801802,-1.5143891,-0.6501662,-0.9373132,-0.6827068,-1.3294852,-1.3600173,-0.9851805,-1.281001,-1.1939952
24/05/2011,1.3391056,-0.3372395,-0.4087492,0.4759426,-0.5270678,-0.1029585,-0.1486454,-0.6281407,0.4679793,0.4752923,-0.1701179
25/05/2011,1.4535515,0.136326,0.4592871,-0.6661239,0.0127677,-0.6820455,0.0480215,0.7774968,1.3932018,0.473044,-0.2996827
26/05/2011,0.5316966,-0.0534837,0.5471657,0.6109828,0.8074554,0.1556586,0.4847845,0.3481152,0.1614105,1.3302444,-0.0825131
27/05/2011,0.2040997,0.0802685,0.5054903,0.2592017,0.31343,0.3047387,0.8120373,0.4094134,1.0288831,-0.0073752,0.0884799
31/05/2011,1.0396741,1.1957711,1.5617856,0.7091151,0.6501499,0.9053623,0.9665956,1.0115787,1.0429448,1.6964154,0.6836398
01/06/2011,-2.3068698,-1.3713764,-2.1822576,-1.4009095,-2.2827757,-1.0778912,-3.4820968,-3.2077158,-3.0601093,-2.9881056,-1.0828846
02/06/2011,-0.177639,-0.209419,0.1211152,-0.4314513,-0.2278343,-1.1231167,0.1555891,0.4011206,0.1294417,-0.59061,-0.278123
